´çÃ·¹øÈ£1,´çÃ·¹øÈ£2,´çÃ·¹øÈ£3,´çÃ·¹øÈ£4,´çÃ·¹øÈ£5,´çÃ·¹øÈ£6
2,19,27,35,41,42
4,6,13,21,40,42
21,25,33,34,35,36
2,11,21,34,41,42
2,18,25,28,37,39
1,2,10,13,18,19
1,5,13,26,29,34
3,8,11,12,13,36
6,19,21,35,40,45
16,19,20,32,33,41
5,18,28,30,42,45
19,26,30,33,35,39
4,9,13,18,21,34
1,18,30,41,42,43
3,7,8,34,39,41
22,34,36,40,42,45
1,5,21,25,38,41
7,11,26,28,29,44
6,9,10,11,39,41
5,13,18,19,22,42
9,12,27,36,39,45
24,27,28,30,36,39
3,10,31,40,42,43
16,27,35,37,43,45
2,11,13,15,31,42
4,16,25,29,34,35
4,19,21,24,26,41
3,9,24,30,33,34
13,14,18,22,35,39
19,26,28,31,33,36
4,17,30,32,33,34
1,10,13,16,37,43
1,5,11,12,18,23
5,9,17,25,39,43
2,15,20,21,29,34
14,21,23,32,40,45
13,15,27,29,34,40
2,18,24,34,40,42
1,2,6,16,20,33
1,2,4,8,19,38
4,10,14,19,21,45
1,2,8,18,29,38
19,24,27,30,31,34
8,14,32,35,37,45
8,14,18,30,31,44
5,6,24,25,32,37
4,8,11,18,37,45
6,14,18,26,36,39
15,20,23,26,39,44
7,10,19,22,35,40
35,36,37,41,44,45
7,12,16,34,42,45
12,19,20,25,41,45
14,21,22,25,30,36
5,6,13,14,17,20
3,11,24,38,39,44
12,14,27,33,39,44
1,3,11,24,30,32
3,12,14,35,40,45
1,3,21,29,35,37
1,2,3,15,20,25
3,11,14,31,32,37
14,25,31,34,40,44
2,7,18,20,24,33
10,19,22,23,25,37
12,13,17,20,33,41
11,12,18,21,31,38
2,3,4,5,20,24
5,7,20,25,28,37
2,3,7,15,43,44
7,16,17,33,36,40
16,20,27,33,35,39
1,8,14,18,29,44
4,11,20,26,35,37
5,11,19,21,34,43
2,20,33,35,37,40
5,7,28,29,39,43
1,3,18,20,26,27
4,19,26,27,30,42
5,11,13,19,31,36
2,6,8,14,21,22
4,5,15,16,22,42
17,25,35,36,39,44
4,5,9,11,23,38
5,11,14,29,32,33
5,10,19,31,44,45
8,9,10,12,24,44
4,6,13,17,28,40
13,21,22,24,26,37
21,22,26,27,31,37
1,4,8,13,37,39
1,11,17,21,24,44
2,4,15,28,31,34
11,15,24,39,41,44
6,10,16,40,41,43
2,16,24,27,28,35
4,19,20,21,32,34
2,12,17,19,28,42
13,16,25,36,37,38
9,11,27,31,32,38
13,18,21,23,26,39
12,15,28,36,39,40
3,8,17,23,38,45
3,8,27,31,41,44
19,23,30,37,43,45
6,7,19,25,28,38
14,23,26,31,39,45
8,19,25,31,34,36
1,5,19,20,24,30
1,5,6,24,27,42
4,11,14,21,23,43
6,13,27,31,32,37
14,27,30,31,38,40
4,5,14,35,42,45
7,12,15,24,37,40
6,11,16,18,31,43
9,12,24,25,29,31
1,27,28,32,37,40
9,16,27,36,41,44
5,9,34,37,38,39
3,4,9,11,22,42
7,8,24,34,36,41
3,10,19,24,32,45
5,18,20,36,42,43
5,9,12,20,21,26
3,8,9,27,29,40
7,9,12,27,39,43
1,8,24,31,34,44
13,14,15,26,35,39
14,19,20,35,38,40
4,15,21,33,39,41
10,12,13,15,25,29
3,11,37,39,41,43
7,16,31,36,37,38
10,11,23,24,36,37
1,3,4,6,14,41
2,5,10,18,31,32
6,8,18,31,38,45
2,7,15,24,30,45
13,33,37,40,41,45
1,15,19,40,42,44
6,12,24,27,35,37
1,12,17,28,35,41
3,14,33,37,38,42
8,13,18,32,39,45
3,7,8,18,20,42
17,18,31,32,33,34
1,9,17,21,29,33
6,10,17,30,37,38
1,4,12,16,18,38
3,8,15,27,30,45
6,11,19,20,28,32
5,9,27,29,37,40
1,3,20,25,36,45
7,9,10,12,26,38
7,11,13,33,37,43
13,19,20,32,38,42
2,14,17,30,38,45
4,10,16,26,33,41
7,8,18,21,23,39
4,18,23,30,34,41
5,15,21,23,25,45
14,15,17,19,37,45
1,2,5,11,18,36
1,5,19,28,34,41
4,12,24,27,28,32
2,3,5,6,12,20
9,17,34,35,43,45
15,17,19,34,38,41
1,13,33,35,43,45
10,11,21,27,31,39
3,10,11,22,36,39
2,17,19,20,34,45
5,8,22,28,33,42
16,19,23,25,41,45
12,18,20,21,25,34
9,18,29,32,38,43
10,14,15,32,36,42
2,4,21,25,33,36
7,17,20,32,44,45
16,23,25,33,36,39
6,12,13,17,32,44
1,6,9,16,17,28
9,17,19,30,35,42
3,4,16,17,19,20
4,9,14,26,31,44
16,17,34,36,42,45
5,14,27,30,39,43
13,15,21,29,39,43
5,9,16,23,26,45
3,5,20,34,35,44
1,5,14,18,32,37
2,13,34,38,42,45
6,8,14,21,30,37
18,24,26,29,34,38
1,8,19,34,39,43
1,13,14,33,34,43
1,10,17,29,31,43
1,2,15,28,34,45
15,20,23,29,39,42
5,13,14,22,44,45
3,8,13,27,32,42
3,14,17,20,24,31
5,13,14,20,24,25
1,8,18,24,29,33
5,25,27,29,34,36
5,16,17,20,26,41
11,16,19,22,29,36
14,19,36,43,44,45
5,8,29,30,35,44
2,8,14,25,29,45
10,14,18,21,36,37
1,9,10,12,21,40
1,10,19,20,24,40
4,16,23,25,35,40
5,10,16,24,27,35
2,3,22,27,30,40
11,12,14,21,32,38
2,5,7,14,16,40
5,15,21,25,26,30
5,12,19,26,27,44
3,22,25,29,32,44
11,21,24,30,39,45
17,20,35,36,41,43
16,18,24,42,44,45
7,9,15,26,27,42
8,11,14,16,18,21
15,26,37,42,43,45
11,13,15,17,25,34
4,8,19,25,27,45
1,11,13,24,28,40
6,22,29,37,43,45
5,22,29,31,34,39
6,10,22,31,35,40
1,2,8,17,26,37
1,5,10,12,16,20
10,15,22,24,27,42
4,15,28,33,37,40
11,22,24,32,36,38
7,12,19,21,29,32
4,7,10,19,31,40
1,26,31,34,40,43
1,8,9,17,29,32
7,16,18,20,23,26
16,17,28,37,39,40
10,11,18,22,28,39
1,3,7,8,24,42
9,16,28,40,41,43
1,13,20,22,25,28
11,15,20,26,31,35
18,20,31,34,40,45
12,13,17,22,25,33
10,15,20,23,42,44
1,2,9,17,19,42
9,21,27,34,41,43
6,12,18,31,38,43
5,9,15,19,22,36
10,14,22,24,28,37
5,20,21,24,33,40
1,2,10,25,26,44
7,12,21,24,27,36
6,7,13,16,24,25
9,20,21,22,30,37
6,9,21,31,32,40
1,3,18,32,40,41
11,14,22,35,37,39
4,7,39,41,42,45
2,9,15,23,34,40
2,14,15,22,23,44
7,17,20,26,30,40
5,6,8,11,22,26
4,5,14,20,22,43
11,13,15,26,28,34
2,11,13,14,28,30
4,9,10,29,31,34
6,11,26,27,28,44
8,15,19,21,34,44
1,17,27,28,29,40
10,11,26,31,34,44
8,10,14,27,33,38
4,17,18,27,39,43
6,7,15,24,28,30
12,16,19,22,37,40
3,23,28,34,39,42
1,3,16,18,30,34
18,22,25,31,38,45
2,3,5,11,27,39
19,23,29,33,35,43
3,13,20,24,33,37
8,16,26,30,38,45
9,14,20,22,33,34
11,16,29,38,41,44
6,12,20,26,29,38
17,20,30,31,37,40
10,22,28,34,36,44
1,23,28,30,34,35
25,27,29,36,38,40
4,6,10,19,20,44
11,13,23,35,43,45
13,20,21,30,39,45
1,11,12,14,26,35
2,7,8,9,17,33
3,7,13,27,40,41
3,10,20,26,35,43
6,14,19,21,23,31
12,15,20,24,30,38
8,10,18,30,32,34
12,24,33,38,40,42
13,25,27,34,38,41
4,19,20,26,30,35
1,7,12,18,23,27
8,10,18,23,27,40
4,9,10,32,36,40
4,6,10,14,25,40
8,11,28,30,43,45
11,18,26,31,37,40
3,20,24,32,37,45
23,29,31,33,34,44
6,12,15,34,42,44
1,8,11,13,22,38
4,10,13,23,32,44
2,12,14,17,24,40
8,13,15,28,37,43
4,21,22,34,37,38
10,16,20,39,41,42
6,13,29,37,39,41
16,25,26,31,36,43
8,13,20,22,23,36
4,13,18,31,33,45
1,9,14,16,21,29
9,12,13,15,37,38
14,25,29,32,33,45
18,29,30,37,39,43
8,23,25,27,35,44
3,5,10,17,30,31
3,4,23,29,40,41
1,10,16,24,25,35
12,15,19,22,28,34
1,3,27,28,32,45
17,22,26,27,36,39
1,2,23,25,38,40
4,8,25,27,37,41
2,8,17,30,31,38
2,4,8,15,20,27
2,7,26,29,40,43
8,17,35,36,39,42
22,27,31,35,37,40
20,22,26,33,36,37
5,7,8,15,30,43
4,13,22,27,34,44
4,13,20,29,36,41
19,20,23,24,43,44
13,14,24,32,39,41
5,20,23,27,35,40
3,4,12,20,24,34
1,4,10,17,31,42
6,22,28,32,34,40
1,5,27,30,34,36
6,14,22,26,43,44
7,20,22,25,38,40
6,9,11,22,24,30
12,13,32,33,40,41
5,27,31,34,35,43
12,25,29,35,42,43
12,29,32,33,39,40
3,7,14,23,26,42
4,5,9,13,26,27
5,8,21,23,27,33
1,15,20,26,35,42
2,11,12,15,23,37
2,8,23,41,43,44
1,9,12,28,36,41
14,23,30,32,34,38
6,8,13,16,30,43
4,22,27,28,38,40
3,7,18,29,32,36
4,5,13,14,37,41
1,4,37,38,40,45
10,11,29,38,41,45
11,23,26,29,39,44
7,14,17,20,35,39
1,12,22,32,33,42
5,17,25,31,39,40
18,20,24,27,31,42
16,23,27,29,33,41
1,5,9,21,27,35
16,17,23,24,29,44
9,14,15,17,31,33
10,24,26,29,37,38
11,12,14,15,18,39
7,8,18,32,37,43
12,23,26,30,36,43
6,10,18,31,32,34
3,19,22,31,42,43
3,12,13,15,34,36
8,13,26,28,32,34
5,6,19,26,41,45
13,18,26,31,34,44
5,17,21,25,36,44
4,24,25,27,34,35
8,17,20,27,37,43
6,7,15,22,34,39
1,12,13,21,32,45
29,31,35,38,40,44
1,7,14,20,34,37
3,6,20,24,27,44
1,10,20,32,35,40
2,7,17,28,29,39
13,14,17,32,41,42
11,17,21,24,26,36
12,20,23,28,30,44
4,20,26,28,35,40
12,15,19,26,40,43
11,12,25,32,44,45
1,4,20,23,29,45
5,7,18,37,42,45
4,11,13,17,20,31
5,10,16,17,31,32
14,19,25,26,27,34
4,10,18,27,40,45
4,5,6,25,26,43
1,10,15,16,32,41
1,3,17,20,31,44
3,6,13,23,24,35
1,12,26,27,29,33
11,18,21,26,38,43
3,13,18,33,37,45
2,4,20,34,35,43
14,15,16,19,25,43
2,8,20,30,33,34
10,11,15,25,35,41
16,17,22,31,34,37
5,12,14,32,34,42
5,7,20,22,37,42
5,7,9,11,32,35
3,5,14,20,42,44
2,12,14,33,40,41
8,17,27,33,40,44
7,18,30,39,40,41
6,7,10,16,38,41
2,7,12,15,21,34
14,21,29,31,32,37
2,8,15,22,25,41
6,8,28,33,38,39
20,30,36,38,41,45
8,13,14,30,38,39
2,5,6,13,28,44
9,10,13,24,33,38
2,8,13,25,28,37
8,24,28,35,38,40
3,4,12,14,25,43
8,10,23,24,35,43
4,12,24,33,38,45
5,12,17,29,34,35
5,11,14,27,29,36
2,16,19,31,34,35
13,14,22,27,30,38
2,19,25,26,27,43
2,6,18,21,33,34
1,2,7,9,10,38
1,5,6,14,20,39
8,14,23,36,38,39
4,8,18,19,39,44
4,8,27,34,39,40
14,18,20,23,28,36
2,22,27,33,36,37
6,9,18,19,25,33
7,8,11,16,41,44
8,21,25,39,40,44
10,17,18,19,23,27
5,13,18,23,40,45
4,5,11,12,24,27
8,16,25,30,42,43
6,8,13,30,35,40
2,16,17,32,39,45
1,2,6,16,19,42
9,15,16,21,28,34
7,13,30,39,41,45
1,7,19,26,27,35
3,6,7,20,21,39
13,14,26,33,40,43
2,9,22,25,31,45
1,7,12,15,23,42
19,28,31,38,43,44
8,17,21,24,27,31
1,2,4,23,31,34
15,18,21,32,35,44
9,12,19,20,39,41
4,10,11,12,20,27
11,13,25,26,29,33
6,7,15,16,20,31
3,16,22,37,38,44
7,18,22,24,31,34
6,15,22,23,25,32
14,15,18,21,26,35
11,18,21,36,37,43
8,17,18,24,39,45
15,24,31,32,33,40
5,13,17,23,28,36
1,4,16,26,40,41
2,9,24,41,43,45
5,16,21,23,24,30
13,19,28,37,38,43
3,21,22,33,41,42
3,4,7,11,31,41
11,12,16,26,29,44
3,13,15,40,41,44
5,6,26,27,38,39
16,21,26,31,36,43
7,37,38,39,40,44
3,7,14,16,31,40
10,14,19,39,40,43
8,19,25,28,32,36
7,18,19,27,29,42
4,9,23,33,39,44
2,3,12,20,27,38
5,6,9,11,15,37
3,5,8,19,38,42
10,20,33,36,41,44
5,6,11,17,38,44
2,4,6,11,17,28
15,17,25,37,42,43
12,14,15,24,27,32
7,8,20,29,33,38
11,18,26,27,40,41
7,9,10,13,31,35
8,21,28,31,36,45
7,10,17,29,33,44
9,10,14,25,27,31
1,8,11,15,18,45
1,8,17,34,39,45
12,15,24,36,41,44
4,5,6,12,25,37
3,5,7,14,26,34
4,10,19,29,32,42
21,24,27,29,43,44
17,23,27,35,38,43
6,13,20,27,28,40
1,11,15,17,25,39
6,7,12,28,38,40
7,12,15,24,25,43
1,8,10,13,28,42
5,15,22,23,34,35
7,17,19,30,36,38
24,25,33,34,38,39
15,27,33,35,43,45
3,11,14,15,32,36
1,6,11,28,34,42
7,15,20,25,33,43
4,18,26,33,34,38
1,7,16,18,34,38
2,5,8,11,33,39
3,11,13,21,33,37
4,5,8,16,21,29
11,23,28,29,30,44
3,10,14,16,36,38
3,13,16,24,26,29
10,28,31,33,41,44
1,4,8,23,33,42
1,6,17,22,28,45
3,4,6,10,28,30
2,12,19,24,39,44
2,10,16,19,34,45
10,18,30,36,39,44
3,4,9,24,25,33
11,15,24,35,37,45
17,20,30,31,33,45
2,5,15,18,19,23
1,7,22,33,37,40
2,7,27,33,41,44
2,6,13,16,29,30
2,11,19,25,28,32
4,11,20,23,32,39
4,8,13,19,20,43
1,12,29,34,36,37
1,28,35,41,43,44
12,14,21,30,39,43
20,30,33,35,36,44
2,8,33,35,37,41
6,7,19,21,41,43
1,11,21,23,34,44
7,8,10,19,21,31
3,6,10,30,34,37
11,17,21,26,36,45
4,10,14,15,18,22
2,7,13,25,42,45
2,4,5,17,27,32
11,24,32,33,35,40
6,16,37,38,41,45
5,10,13,27,37,41
2,11,17,18,21,27
13,15,18,24,27,41
23,27,28,38,42,43
7,22,29,33,34,35
4,8,9,16,17,19
5,21,27,34,44,45
8,10,13,36,37,40
15,19,21,34,41,44
10,15,18,21,34,41
1,2,3,9,12,23
3,12,33,36,42,45
7,9,12,14,23,28
3,10,13,22,31,32
12,14,24,26,34,45
1,2,15,19,24,36
3,4,16,20,28,44
4,16,20,33,40,43
2,17,19,24,37,41
2,8,17,24,29,31
13,14,26,28,30,36
10,14,16,18,27,28
6,7,11,17,33,44
5,9,12,30,39,43
9,33,36,40,42,43
10,22,27,31,42,43
4,7,11,24,42,45
1,3,12,21,26,41
3,8,16,32,34,43
7,22,24,31,34,36
1,3,8,12,42,43
9,30,34,35,39,41
5,15,20,31,34,42
7,27,29,30,38,44
5,7,11,16,41,45
1,9,12,23,39,43
6,10,17,18,21,29
5,6,11,14,21,41
8,12,19,21,31,35
12,15,18,28,34,42
11,12,29,33,38,42
8,9,18,21,28,40
6,12,17,21,34,37
6,21,35,36,37,41
6,12,19,24,34,41
15,17,19,21,27,45
11,16,18,19,24,39
6,18,31,34,38,45
14,15,16,17,38,45
3,10,23,24,31,39
4,6,15,25,26,33
12,15,16,20,24,30
5,6,13,16,27,28
2,10,11,19,35,39
2,6,7,12,19,45
3,8,19,27,30,41
2,10,12,31,33,42
2,7,19,25,29,36
10,15,21,35,38,43
6,7,18,19,30,38
3,10,13,26,34,38
1,21,26,36,40,41
5,22,31,32,39,45
2,10,14,22,32,36
12,17,23,34,42,45
1,4,10,12,28,45
17,25,28,37,43,44
10,11,12,18,24,42
5,9,14,26,30,43
1,10,13,26,32,36
3,12,13,18,31,32
14,20,23,31,37,38
6,10,18,25,34,35
15,21,31,32,41,43
6,11,15,17,23,40
5,10,13,21,39,43
8,11,19,21,36,45
1,3,12,14,16,43
11,30,34,35,42,44
2,21,28,38,42,45
17,21,25,26,27,36
12,18,19,29,31,39
3,9,12,13,25,43
14,15,25,28,29,30
16,25,33,38,40,45
10,21,22,30,35,42
1,12,13,24,29,44
9,18,20,24,27,36
12,18,24,26,39,40
7,9,24,29,34,38
8,15,21,31,33,38
13,16,24,25,33,36
5,11,12,29,33,44
4,7,13,29,31,39
4,5,31,35,43,45
5,6,16,18,37,38
3,10,16,19,31,39
13,14,19,26,40,43
12,18,30,39,41,42
6,8,18,35,42,43
9,10,13,28,38,45
1,9,11,14,26,28
2,25,28,30,33,45
9,14,17,33,36,38
3,9,11,12,13,19
2,4,11,28,29,43
5,11,14,30,33,38
14,26,32,36,39,42
19,21,30,33,34,42
7,8,13,15,33,45
1,16,29,33,40,45
5,18,30,41,43,45
12,16,26,28,30,42
1,2,16,22,38,39
5,13,17,29,34,39
16,20,24,28,36,39
14,18,22,26,31,44
11,17,28,30,33,35
2,8,23,26,27,44
20,25,31,32,36,43
8,15,17,19,43,44
10,24,40,41,43,44
6,10,16,28,34,38
9,13,32,38,39,43
8,22,35,38,39,41
4,8,18,25,27,32
11,17,19,21,22,25
10,34,38,40,42,43
16,21,28,35,39,43
3,7,10,13,25,36
3,15,22,32,33,45
9,15,29,34,37,39
14,17,19,22,24,40
12,17,28,41,43,44
2,6,20,27,37,39
21,25,30,32,40,42
2,6,12,26,30,34
2,4,30,32,33,43
3,5,12,13,33,39
1,15,19,23,28,42
19,22,30,34,39,44
5,16,21,26,34,42
5,17,18,22,23,43
2,6,11,16,25,31
1,4,10,14,15,35
7,17,19,23,24,45
4,18,20,26,27,32
18,34,39,43,44,45
9,18,32,33,37,44
4,14,23,28,37,45
1,3,24,27,39,45
19,23,28,37,42,45
8,14,17,27,36,45
3,7,12,31,34,38
3,13,29,38,39,42
1,4,14,18,29,37
9,13,28,31,39,41
4,9,17,18,26,42
1,15,17,23,25,41
19,32,37,40,41,43
16,26,31,38,39,41
5,12,25,26,38,45
6,7,12,22,26,36
18,21,28,35,37,42
8,19,20,21,33,39
7,13,16,18,35,38
5,18,20,23,30,34
7,19,23,24,36,39
2,15,16,21,22,28
2,6,8,26,43,45
3,4,16,27,38,40
2,5,14,28,31,32
21,27,29,38,40,44
3,16,21,22,23,44
7,24,29,30,34,35
1,11,17,27,35,39
4,5,12,14,32,42
5,8,18,21,22,38
6,14,16,21,27,37
16,19,24,33,42,44
2,6,11,13,22,37
6,21,22,32,35,36
1,3,23,24,27,43
7,11,12,31,33,38
9,14,17,18,42,44
2,3,26,33,34,43
5,7,12,22,28,41
2,6,13,17,27,43
3,17,18,23,36,41
3,11,34,42,43,44
13,24,32,34,39,42
10,16,18,20,25,31
4,15,22,38,41,43
3,4,10,20,28,44
7,9,12,15,19,23
8,21,25,38,39,44
14,15,23,25,35,43
1,6,15,36,37,38
23,27,29,31,36,45
1,3,30,33,36,39
4,10,20,32,38,44
7,11,13,17,18,29
2,10,13,22,29,40
4,8,10,16,31,36
4,11,28,39,42,45
3,15,20,22,24,41
12,14,25,27,39,40
10,12,18,35,42,43
1,8,13,36,44,45
2,13,16,19,32,33
9,10,15,30,33,37
9,18,19,30,34,40
3,8,17,20,27,35
13,18,30,31,38,41
14,21,35,36,40,44
3,4,15,22,28,40
2,12,30,31,39,43
4,12,22,24,33,41
7,9,22,27,37,42
1,9,26,28,30,41
4,9,23,26,29,33
10,11,20,21,25,41
4,15,24,35,36,40
2,9,10,16,35,37
1,14,15,24,40,41
2,18,24,30,32,45
11,20,29,31,33,42
1,18,28,31,34,43
6,12,19,23,34,42
6,21,36,38,39,43
2,13,25,28,29,36
1,21,25,29,34,37
1,6,13,37,38,40
2,5,12,14,24,39
3,9,10,29,40,45
9,11,16,21,28,36
2,6,17,18,21,26
3,6,17,23,37,39
22,26,31,37,41,42
1,2,11,16,39,44
7,8,9,17,22,24
4,12,14,25,35,37
2,9,10,14,22,44
1,7,15,32,34,42
7,11,16,21,27,33
3,13,16,23,24,35
27,36,37,41,43,45
5,7,13,20,21,44
13,23,26,31,35,43
3,10,23,35,36,37
17,21,23,30,34,44
7,10,16,28,41,42
2,4,15,23,29,38
2,13,20,30,31,41
17,18,21,27,29,33
2,4,25,26,36,37
13,18,25,31,33,44
12,20,26,33,44,45
6,14,16,18,24,42
1,3,8,24,27,35
1,4,13,29,38,39
6,11,15,24,32,39
4,7,14,16,24,44
13,17,18,20,42,45
1,3,9,14,18,28
2,8,19,22,32,42
6,10,12,14,20,42
17,25,33,35,38,45
1,4,29,39,43,45
7,15,30,37,39,44
8,13,18,24,27,29
8,11,15,16,17,37
8,11,16,19,21,25
9,11,30,31,41,44
15,23,29,34,40,44
9,12,15,25,34,36
1,9,12,26,35,38
5,11,18,20,35,45
21,22,26,34,36,41
3,11,14,18,26,27
14,23,31,33,37,40
15,26,28,34,41,42
12,18,22,23,30,34
3,19,21,25,37,45
1,4,13,17,34,39
12,27,29,38,41,45
12,15,17,24,29,45
5,6,11,29,42,45
10,14,16,18,29,35
9,18,20,22,38,44
8,9,20,25,29,33
5,12,13,31,32,41
14,16,27,35,39,45
5,7,12,13,18,35
12,30,32,37,39,41
2,5,11,17,24,29
6,7,22,32,35,36
1,6,12,19,36,42
3,11,15,20,35,44
26,31,32,33,38,40
9,14,34,35,41,42
2,5,22,32,34,45
2,14,15,22,27,33
7,16,24,27,37,44
2,3,6,19,36,39
8,16,26,29,31,36
6,7,9,11,17,18
5,14,15,23,34,43
3,5,12,22,26,31
12,17,20,26,28,36
6,14,15,19,21,41
7,16,25,29,35,36
2,20,33,40,42,44
6,12,17,21,32,39
3,5,13,20,21,37
6,12,31,35,38,43
21,26,30,32,33,35
5,17,26,27,35,38
22,26,29,30,34,45
14,19,27,28,30,45
4,7,12,14,22,33
13,20,24,32,36,45
8,13,19,27,40,45
11,23,25,30,32,40
7,10,22,25,34,40
3,10,24,33,38,45
4,24,27,35,37,45
20,31,32,40,41,45
3,6,22,23,24,38
3,6,9,18,22,35
3,18,19,23,32,45
6,11,16,19,21,32
7,10,19,23,28,33
4,7,19,26,33,35
1,10,18,22,28,31
3,6,14,22,30,41
1,2,11,21,30,35
